TRIP
DATE 2011-07-06 
DECLINATION     0.00
DATA
1.290	1.356	329.61	-18.26	14.948	>
1.356		288.03	26.42	2.164	>
1.356		45.52	-10.15	3.032	>
1.356		354.13	65.99	2.211	>
1.356		43.87	-54.50	0.986	>
1.356	1.357	30.28	-50.83	7.466	>
1.357		260.17	12.34	4.721	>
1.357		62.98	8.41	1.716	>
1.357		309.46	73.41	2.513	>
1.357		313.03	-65.73	1.654	>
1.357	1.358	340.26	-33.28	26.355	>
1.358		251.21	7.70	2.531	>
1.358		40.68	5.96	7.350	>
1.358		17.79	75.55	6.793	>
1.358		299.46	-60.35	0.805	>
1.358	1.359	331.89	-36.43	20.037	>
1.359		257.71	20.72	1.809	>
1.359		49.93	2.64	7.938	>
1.359		28.84	59.46	17.527	>
1.359		38.41	-42.56	6.326	>
1.359	1.360	328.29	-29.62	17.437	>
1.360		268.39	32.75	4.013	>
1.360		58.94	14.97	9.351	>
1.360		9.33	84.19	4.997	>
1.360		36.11	-69.54	1.204	>
1.360		205.75	-0.53	32.511	>
1.360		227.52	-4.37	14.027	>
1.360		308.78	52.72	4.210	>
1.360		19.88	27.61	12.572	>
1.360		68.22	45.92	9.453	>
1.360		87.73	8.82	9.217	>
1.360	1.361	352.05	-2.24	14.616	>
1.361		237.39	17.83	4.672	>
1.361		37.77	16.69	3.861	>
1.361		334.31	77.21	13.452	>
1.361		355.13	-52.59	0.524	>
1.361		23.08	71.19	32.308	>
1.361	1.362	305.68	-31.26	9.529	>
1.362		245.70	-25.19	3.104	>
1.362		34.84	11.02	3.579	>
1.362		15.14	70.53	5.317	>
1.362		250.56	-76.43	1.306	>
1.362	1.363	331.77	-19.15	14.371	>
1.363		248.06	7.74	3.261	>
1.363		79.56	14.46	6.166	>
1.363		339.30	85.88	2.560	>
1.363		330.67	-68.16	1.767	>
1.363	1.364	2.88	19.95	8.201	>
1.364		3.03	19.70	8.206	>
1.364		246.01	29.60	7.815	>
1.364		62.21	87.92	9.239	>
1.364		322.13	-86.63	1.358	>
1.364		25.15	5.76	10.904	>
1.364		22.09	6.52	10.855	>
1.364		336.38	32.72	19.339	>
1.364		10.95	12.85	12.640	>
1.364		45.87	8.60	12.280	>
1.364		97.89	-6.50	12.293	>
1.364	1.365	312.68	8.97	16.481	>
1.365		178.31	-3.91	12.680	>
1.365		352.16	28.55	1.843	>
1.365		288.39	68.89	6.803	>
1.365		174.49	-51.83	3.204	>
1.365	1.366	243.87	6.93	11.536	>
1.366		158.17	3.99	0.647	>
1.366		1.88	8.14	3.637	>
1.366		7.26	46.24	5.425	>
1.366		81.32	-69.75	1.359	>
1.366	1.367	276.11	32.43	15.950	>
1.367		159.37	10.93	0.691	>
1.367		156.43	13.39	0.686	>
1.367		116.74	71.40	0.899	>
1.367		125.76	-77.00	0.921	>
1.360		180.79	-8.33	14.716	>
1.360		304.87	-1.39	6.679	>
1.360		35.88	78.08	5.032	>
1.360		25.58	-85.30	1.271	>
1.360	1.368	194.98	-27.29	13.007	>
1.368		111.01	4.59	2.672	>
1.368		273.35	6.01	8.746	>
1.368		203.59	73.89	7.477	>
1.368		207.28	-87.74	1.822	>
1.368	1.369	212.48	-24.58	18.632	>
1.369		120.56	40.78	5.457	>
1.369		323.81	-15.76	10.088	>
1.369		293.55	82.47	11.955	>
1.369		216.99	-66.86	1.265	>
1.369	1.370	300.64	-34.95	18.494	>
1.370		225.58	-17.28	5.719	>
1.370		29.74	-8.16	2.401	>
